MUNICIPIO,Y,X,W1,W2,N
Panambi,0.5,0.0606060606,0.0384615385,0.1428571429,33
Colombo,0.493,0.0303030303,0.0454545455,0,33
Lins,0.486,0.1212121212,0.0476190476,0.25,33
Umuarama,0.485,0.0606060606,0,0.0952380952,33
Santo Ângelo,0.48,0.21875,0.1052631579,0.3846153846,32
Itatiba,0.494,0.21875,0.2222222222,0.2142857143,32
Itumbiara,0.493,0.09375,0.0833333333,0.125,32
Alexandria,0.49,0.0625,0,0.0869565217,32
Botucatu,0.485,0.09375,0.0666666667,0.1176470588,32
Sapiranga,0.493,0.1875,0.2222222222,0.1428571429,32
Mogi Guaçu,0.496,0.0322580645,0.0625,0,31
Avaré,0.496,0.0322580645,0,0.0909090909,31
Bertioga,0.5,0.1612903226,0.1428571429,0.1764705882,31
Várzea Grande,0.496,0.1612903226,0.1428571429,0.2,31
Ji-Paraná,0.496,0.0967741935,0.0714285714,0.1176470588,31
Sobral,0.486,0.1,0.05,0.2,30
Itapevi,0.492,0.0333333333,0.0625,0,30
Alfenas,0.489,0.0666666667,0.05,0.1,30
Ibitinga,0.493,0.1,0.0714285714,0.125,30
Saquarema,0.497,0.1333333333,0.1666666667,0.1111111111,30
Caucaia,0.49,0.1,0.0555555556,0.1666666667,30
São Lourenço,0.474,0.1666666667,0.2105263158,0.0909090909,30
Leme,0.502,0.0333333333,0,0.0666666667,30
Tramandaí,0.483,0.2,0,0.5,30
João Monlevade,0.476,0.1,0.0714285714,0.125,30
Jaguariúna,0.497,0.1333333333,0.1578947368,0.0909090909,30
Parintins,0.513,0.0333333333,0.0526315789,0,30
Imbituba,0.493,0.0689655172,0.0714285714,0.0666666667,29
Santa Rita,0.483,0.1724137931,0.1578947368,0.2,29
Apucarana,0.485,0.1034482759,0.1111111111,0.0909090909,29
Ibirité,0.49,0.0689655172,0.05,0.1111111111,29
Diamantina,0.485,0.1724137931,0.1578947368,0.2,29
Campos do Jordão,0.49,0.1034482759,0.1666666667,0,29
Hortolândia,0.506,0.1034482759,0.125,0.0769230769,29
Taquara,0.492,0.0344827586,0,0.0666666667,29
Santana,0.498,0.1034482759,0.0952380952,0.125,29
Tatuí,0.494,0.1379310345,0.0588235294,0.25,29
Pindamonhangaba,0.492,0.0344827586,0,0.0666666667,29
Marau,0.496,0.2068965517,0.0526315789,0.5,29
Anchieta,0.505,0.2142857143,0.1538461538,0.2666666667,28
São Francisco do Sul,0.498,0.0714285714,0.1818181818,0,28
Itaúna,0.493,0.0357142857,0.0714285714,0,28
Montenegro,0.492,0.1785714286,0.1764705882,0.1818181818,28
Vinhedo,0.495,0.0357142857,0.05,0,28
Araguaína,0.489,0.0357142857,0,0.1111111111,28
Mariana,0.49,0.037037037,0.0625,0,27
Pinhais,0.486,0.2222222222,0.2352941176,0.2,27
Passos,0.495,0.037037037,0,0.0769230769,27
Tucuruí,0.498,0.0740740741,0.1333333333,0,27
Campo Mourão,0.482,0.037037037,0,0.0909090909,27
Sombrio,0.491,0.1481481481,0.1333333333,0.1666666667,27
Rio Bonito,0.492,0.037037037,0,0.0909090909,27
Votorantim,0.496,0.1481481481,0.125,0.1818181818,27
São João da Boa Vista,0.485,0.0740740741,0,0.1428571429,27
Ilhabela,0.508,0.1153846154,0.1538461538,0.0769230769,26
Nova Odessa,0.495,0.1538461538,0.0833333333,0.2142857143,26
Curvelo,0.487,0.0769230769,0.05,0.1666666667,26
Paracambi,0.505,0.0384615385,0,0.0909090909,26
Cachoeira do Sul,0.482,0.0384615385,0,0.1111111111,26
Gaspar,0.495,0.1153846154,0.0666666667,0.1818181818,26
Itapecerica da Serra,0.5,0.0384615385,0,0.1111111111,26
Votuporanga,0.488,0.08,0.0714285714,0.0909090909,25
São Lourenço da Mata,0.486,0.08,0.0555555556,0.1428571429,25
Luziânia,0.499,0.04,0.0555555556,0,25
Pirassununga,0.489,0.08,0.0666666667,0.1,25
Castanhal,0.488,0.16,0.1875,0.1111111111,25
Itararé,0.491,0.08,0.0714285714,0.0909090909,25
Paranavaí,0.482,0.12,0.1764705882,0,25
Urussanga,0.491,0.25,0.0833333333,0.4166666667,24
