MUNICIPIO,Y,X,W1,W2,N
Aparecida,0.483,0.0952380952,0.0769230769,0.125,21
Ituiutaba,0.493,0.1428571429,0.1818181818,0.1,21
Votuporanga,0.488,0.0476190476,0,0.1111111111,21
Piedade,0.51,0.0952380952,0.1176470588,0,21
Sapucaia,0.5,0.0952380952,0.1428571429,0,21
Barreiras,0.494,0.0476190476,0.0714285714,0,21
Cataguases,0.491,0.0952380952,0.0666666667,0.1666666667,21
Planaltina,0.497,0.0476190476,0,0.1428571429,21
Bebedouro,0.487,0.0952380952,0.0555555556,0.3333333333,21
Batatais,0.491,0.0476190476,0,0.125,21
Caratinga,0.489,0.0476190476,0.0769230769,0,21
Indaial,0.5,0.0952380952,0,0.2222222222,21
São José do Rio Pardo,0.492,0.15,0,0.2727272727,20
Canoinhas,0.494,0,0,0,20
Taguatinga,0.524,0.1,0.0909090909,0.1111111111,20
Grajaú,0.511,0,0,0,20
Sorriso,0.515,0.1,0.125,0,20
São Lourenço do Sul,0.502,0.15,0,0.375,20
Patrocínio,0.509,0.1,0,0.2857142857,20
Igrejinha,0.488,0.15,0.0833333333,0.25,20
Pedro Leopoldo,0.489,0.1,0.0714285714,0.1666666667,20
Pará de Minas,0.494,0.05,0,0.1111111111,20
Olaria,0.536,0.05,0.0909090909,0,20
Rolândia,0.492,0,0,0,20
Francisco Morato,0.496,0.1,0,0.2,20
Ipanema,0.485,0.05,0.0909090909,0,20
Além Paraíba,0.482,0.1052631579,0.1666666667,0,19
Nova Petrópolis,0.492,0.0526315789,0.0909090909,0,19
Casimiro de Abreu,0.493,0.0526315789,0.0909090909,0,19
