MUNICIPIO,Y,X,W1,W2,N
Canela,0.652,0.1666666667,0.15625,0,36
Pontal do Paraná,0.603,0.0833333333,0.04,0.0909090909,36
Mongaguá,0.612,0.0555555556,0.0476190476,0,36
Amparo,0.597,0.1428571429,0.1034482759,0.1666666667,35
Paraíba do Sul,0.606,0.1714285714,0.1666666667,0.0909090909,35
Arapongas,0.632,0.1428571429,0.0740740741,0.25,35
Grajaú,0.777,0.1142857143,0.0454545455,0.1538461538,35
Ponta Porã,0.707,0.0857142857,0.0606060606,0.5,35
Franco da Rocha,0.705,0.0571428571,0.037037037,0,35
Seropédica,0.658,0.2857142857,0.25,0.2857142857,35
Urussanga,0.581,0.2285714286,0.2173913043,0.25,35
Marataízes,0.65,0.2,0.1724137931,0.1666666667,35
Serra Negra,0.567,0.1714285714,0.0833333333,0.2727272727,35
Panamá,0.579,0.0571428571,0.0689655172,0,35
Iguaba Grande,0.577,0.1764705882,0.1666666667,0,34
Guarabira,0.679,0.0588235294,0.04,0,34
Camaragibe,0.676,0.1764705882,0.1923076923,0,34
Unaí,0.675,0.0588235294,0.0434782609,0,34
São Gabriel,0.587,0.1176470588,0.0769230769,0.125,34
Venâncio Aires,0.581,0.0882352941,0.064516129,0,34
Faro,0.781,0.1470588235,0.0833333333,0.2,34
São Sebastião do Paraíso,0.622,0.1176470588,0.0909090909,0.0833333333,34
Além Paraíba,0.591,0.1818181818,0.1724137931,0,33
Lençóis Paulista,0.648,0.2121212121,0.1428571429,0.4,33
Teixeira de Freitas,0.708,0.1515151515,0.1818181818,0,33
Parobé,0.674,0.0909090909,0.0769230769,0,33
Patrocínio,0.653,0.09375,0.1428571429,0,32
Piedade,0.632,0.15625,0.1481481481,0,32
Boituva,0.671,0.09375,0.0454545455,0.1,32
Juazeiro,0.729,0.125,0.0833333333,0.125,32
Caldas Novas,0.684,0.03125,0.0526315789,0,32
Picos,0.685,0.09375,0.0909090909,0,32
Taguatinga,0.696,0.09375,0.0434782609,0.1111111111,32
Cruzeiro do Sul,0.799,0.15625,0.1428571429,0.0909090909,32
São José do Rio Pardo,0.592,0.1935483871,0.1739130435,0.125,31
Iguape,0.606,0.1290322581,0.0769230769,0.2,31
Maracanã,0.731,0.1935483871,0.1481481481,0.25,31
Santo Antônio da Patrulha,0.572,0.1290322581,0.1071428571,0,31
Ariquemes,0.73,0.0322580645,0,0,31
Guaxupé,0.604,0.0967741935,0.0526315789,0.0833333333,31
Ituiutaba,0.6,0.1612903226,0.125,0.1428571429,31
Pará de Minas,0.648,0.064516129,0,0.1111111111,31
Canoinhas,0.651,0.064516129,0.05,0,31
Cataguases,0.584,0.1,0.1304347826,0,30
Laranjeiras do Sul,0.655,0.1666666667,0.0952380952,0.2222222222,30
Portão,0.641,0.1333333333,0.1538461538,0,30
Braga,0.58,0.0666666667,0.0666666667,0.0666666667,30
Charqueadas,0.65,0.0666666667,0.0384615385,0.25,30
Goiatuba,0.627,0.1666666667,0.2,0,30
Francisco Morato,0.722,0.1,0.0434782609,0.1428571429,30
Guará,0.667,0.1379310345,0.0416666667,0.4,29
Olaria,0.555,0.0689655172,0.0454545455,0,29
Concórdia,0.615,0.1724137931,0.1153846154,0.3333333333,29
São Luiz Gonzaga,0.591,0.1034482759,0.0869565217,0,29
Caratinga,0.645,0.0689655172,0.1052631579,0,29
Irati,0.636,0.1724137931,0.0833333333,0.4,29
Timbó,0.621,0.1034482759,0.1,0,29
Andradina,0.584,0.1034482759,0.05,0.1111111111,29
Campo Largo,0.666,0.1724137931,0.1,0.2222222222,29
Dom Pedrito,0.578,0.1034482759,0.0769230769,0.3333333333,29
Cristalina,0.731,0.1724137931,0.1052631579,0.2,29
Paraíso do Tocantins,0.713,0.1034482759,0.0769230769,0,29
Sapucaia,0.607,0.1034482759,0.0869565217,0,29
Lucas do Rio Verde,0.781,0.1034482759,0.08,0,29
Jaboticabal,0.61,0.0689655172,0,0.0833333333,29
Batatais,0.607,0.1071428571,0.0454545455,0.1666666667,28
