MUNICIPIO,Y,X,W1,W2,N
Três Rios,0.611,0.1176470588,0.1315789474,0.0769230769,51
Várzea Grande,0.72,0.14,0.1724137931,0.0476190476,50
Imbituba,0.598,0.06,0.0263157895,0.1666666667,50
Poá,0.673,0.12,0.0810810811,0.1538461538,50
Hortolândia,0.692,0.1,0.1176470588,0,50
Santa Rosa,0.611,0.14,0.1176470588,0.125,50
Três Lagoas,0.671,0.1,0.1142857143,0.0666666667,50
Alegrete,0.583,0.08,0.1,0,50
Arujá,0.677,0.0612244898,0.0303030303,0.0625,49
Itanhaém,0.613,0.1428571429,0.24,0.0416666667,49
Sobral,0.727,0.0612244898,0.064516129,0,49
Itatiba,0.637,0.1875,0.1428571429,0.2307692308,48
Colombo,0.706,0.0833333333,0.0606060606,0.0666666667,48
Umuarama,0.623,0.0833333333,0.0487804878,0.1428571429,48
Tramandaí,0.61,0.1666666667,0.1935483871,0.0588235294,48
Lorena,0.627,0.125,0.1428571429,0.05,48
Sertãozinho,0.658,0.125,0.1034482759,0.1052631579,48
Camaquã,0.604,0.0425531915,0.0256410256,0.125,47
São João da Boa Vista,0.582,0.0869565217,0.0857142857,0,46
Saquarema,0.617,0.1086956522,0.1,0.0625,46
Sinop,0.73,0.0869565217,0.0571428571,0.0909090909,46
Jaú,0.616,0.0869565217,0.125,0,46
Tatuí,0.65,0.0869565217,0.08,0.0476190476,46
Caicó,0.641,0.0217391304,0.0454545455,0,46
Parauapebas,0.817,0.0652173913,0.037037037,0.0526315789,46
Campo Bom,0.63,0.1111111111,0.1351351351,0,45
Cabo de Santo Agostinho,0.71,0.0222222222,0,0,45
Muriaé,0.617,0.0666666667,0.0666666667,0,45
Valparaíso de Goiás,0.763,0.0444444444,0.0357142857,0,45
Pindamonhangaba,0.654,0.0888888889,0.1071428571,0,45
Alexandria,0.631,0.0888888889,0.0857142857,0,45
Santo Ângelo,0.599,0.1590909091,0.1290322581,0.1538461538,44
Sabará,0.67,0.1136363636,0.125,0,44
Santa Rita,0.7,0.1363636364,0,0.2,44
Santana,0.797,0.0909090909,0.0689655172,0.0666666667,44
Pinhais,0.684,0.1136363636,0.0769230769,0.1666666667,44
Lins,0.598,0.1363636364,0.1724137931,0,44
Cruzeiro,0.621,0.0681818182,0.09375,0,44
Videira,0.66,0.0681818182,0.0666666667,0,44
Alfenas,0.625,0.1136363636,0.1081081081,0,44
Caieiras,0.674,0.1818181818,0.1,0.2857142857,44
Bertioga,0.711,0.2558139535,0.2580645161,0.1666666667,43
Diamantina,0.675,0.0930232558,0.037037037,0.1875,43
Ibitinga,0.623,0.1395348837,0.1,0.2307692308,43
Guaratinguetá,0.608,0.0930232558,0.0882352941,0,43
Vespasiano,0.71,0.0930232558,0.1111111111,0,43
Ji-Paraná,0.709,0.1162790698,0.1379310345,0,43
Vacaria,0.619,0.0697674419,0.0540540541,0,43
Mogi Guaçu,0.625,0.0714285714,0.0625,0,42
Ribeirão das Neves,0.713,0.119047619,0.0740740741,0.1333333333,42
Avaré,0.63,0.0714285714,0.037037037,0.0666666667,42
Leme,0.658,0.0731707317,0.1071428571,0,41
Paranavaí,0.609,0.0731707317,0.0714285714,0,41
Itumbiara,0.626,0.0243902439,0,0,41
São Lourenço,0.592,0.2195121951,0.2608695652,0.1111111111,41
Farroupilha,0.618,0.0487804878,0.03125,0,41
João Monlevade,0.61,0.0975609756,0.0588235294,0.1428571429,41
Caucaia,0.724,0.1463414634,0.0526315789,0.1818181818,41
Marau,0.639,0.125,0.1290322581,0,40
Laguna,0.585,0.175,0.1379310345,0.1818181818,40
Luziânia,0.747,0.075,0,0.125,40
Jaguariúna,0.659,0.075,0.0294117647,0.1666666667,40
Castanhal,0.749,0.15,0.1428571429,0.1666666667,40
Vinhedo,0.626,0.0512820513,0.0333333333,0,39
São Lourenço da Mata,0.694,0.1538461538,0.0909090909,0.1764705882,39
Rio Grande,0.605,0.1025641026,0.1071428571,0,39
Araguaína,0.745,0.0512820513,0.0357142857,0,39
Campo Mourão,0.635,0.0769230769,0.0740740741,0,39
Itapevi,0.726,0.0526315789,0.0344827586,0,38
Apucarana,0.625,0.1052631579,0.0714285714,0.1,38
Vilhena,0.722,0.1052631579,0.0689655172,0.2222222222,38
Parintins,0.783,0.0526315789,0.0833333333,0,38
Araucária,0.703,0.1315789474,0.1428571429,0,38
Panambi,0.637,0.0810810811,0.0416666667,0.0769230769,37
Sapiranga,0.664,0.1351351351,0.12,0.0833333333,37
Patos,0.685,0.0540540541,0.0526315789,0.0555555556,37
Curvelo,0.639,0.0810810811,0.0833333333,0,37
Ibirité,0.718,0.0810810811,0.0454545455,0.0666666667,37
Campos do Jordão,0.67,0.0810810811,0.0454545455,0.0666666667,37
